Date;Heure;Score;Score max;Essai;;;;;;;;;;;;MOY score;Entendu score;temps jeu;Nombre essai;Temps moyen essai (secondes) 
23/07/2023;00:13:04;69;109;342;;;;;;;;;;;;;;;;
23/07/2023;00:13:06;47;109;343;;;;;;;;;;;;;;;;
23/07/2023;00:13:07;41;109;344;;;;;;;;;;;;;;;;
23/07/2023;00:13:08;49;109;345;;;;;;;;;;;;;;;;
23/07/2023;00:13:10;67;109;346;;;;;;;;;;;;;;;;
23/07/2023;00:13:12;61;109;347;;;;;;;;;;;;;;;;
23/07/2023;00:13:16;105;109;348;;;;;;;;;;;;;;;;
23/07/2023;00:13:17;35;109;349;;;;;;;;;;;;;;;;
23/07/2023;00:13:20;91;109;350;;;;;;;;;;;;;;;;
23/07/2023;00:13:21;29;109;351;;;;;;;;;;;;;;;;
23/07/2023;00:13:23;74;109;352;;;;;;;;;;;;;;;;
23/07/2023;00:13:25;57;109;353;;;;;;;;;;;;;;;;
23/07/2023;00:13:28;82;109;354;;;;;;;;;;;;;;;;
23/07/2023;00:13:30;61;109;355;;;;;;;;;;;;;;;;
23/07/2023;00:13:31;34;109;356;;;;;;;;;;;;;;;;
23/07/2023;00:13:31;29;109;357;;;;;;;;;;;;;;;;
23/07/2023;00:13:32;33;109;358;;;;;;;;;;;;;;;;
23/07/2023;00:13:34;60;109;359;;;;;;;;;;;;;;;;
23/07/2023;00:13:36;53;109;360;;;;;;;;;;;;;;;;
23/07/2023;00:13:38;60;109;361;;;;;;;;;;;;;;;;
23/07/2023;00:13:39;43;109;362;;;;;;;;;;;;;;;;
23/07/2023;00:13:41;63;109;363;;;;;;;;;;;;;;;;
23/07/2023;00:13:43;56;109;364;;;;;;;;;;;;;;;;
23/07/2023;00:13:45;75;109;365;;;;;;;;;;;;;;;;
23/07/2023;00:13:47;83;109;366;;;;;;;;;;;;;;;;
23/07/2023;00:13:51;102;109;367;;;;;;;;;;;;;;;;
23/07/2023;00:13:53;65;109;368;;;;;;;;;;;;;;;;
23/07/2023;00:13:55;71;109;369;;;;;;;;;;;;;;;;
23/07/2023;00:13:57;48;109;370;;;;;;;;;;;;;;;;
23/07/2023;00:14:00;78;109;371;;;;;;;;;;;;;;;;
23/07/2023;00:14:02;70;109;372;;;;;;;;;;;;;;;;
23/07/2023;00:14:04;69;109;373;;;;;;;;;;;;;;;;
23/07/2023;00:14:05;43;109;374;;;;;;;;;;;;;;;;
23/07/2023;00:14:08;68;109;375;;;;;;;;;;;;;;;;
23/07/2023;00:14:10;78;109;376;;;;;;;;;;;;;;;;
23/07/2023;00:14:13;81;109;377;;;;;;;;;;;;;;;;
23/07/2023;00:14:15;82;109;378;;;;;;;;;;;;;;;;
23/07/2023;00:14:18;67;109;379;;;;;;;;;;;;;;;;
23/07/2023;00:14:19;56;109;380;;;;;;;;;;;;;;;;
23/07/2023;00:14:22;81;109;381;;;;;;;;;;;;;;;;
23/07/2023;00:14:25;72;109;382;;;;;;;;;;;;;;;;
23/07/2023;00:14:25;32;109;383;;;;;;;;;;;;;;;;
23/07/2023;00:14:28;71;109;384;;;;;;;;;;;;;;;;
